time,supercategory,category,subcategory,segment,manufacturer,product,sales,tdp,upc
LY,"CANDY,_GUM,_MINTS",CHOCOLATE,MULTI_SERVE,MILK_CHOCOLATE,THE_HERSHEY_CO,100 CALORIES OR LESS ,92105270,148.8,31
LY,"CANDY,_GUM,_MINTS",CONFECTION,MULTI_SERVE,CHEWY,FERRARA_CANDY_COMPANY_INC,1G TO LESS THAN 2.5G TOTAL FAT PER SERVING ,78335597,148.8,133
LY,"CANDY,_GUM,_MINTS",CONFECTION,SINGLE_SERVE,CHEWY,MARS_INCORPORATED,2.5G TO LESS THAN 5G TOTAL FAT PER SERVING ,121080069,148.7,25
CY,"CANDY,_GUM,_MINTS",CONFECTION,SINGLE_SERVE,CHEWY,MARS_INCORPORATED,FREE OF GLUTEN ,96611591,148.6,29
CY,"CANDY,_GUM,_MINTS",CONFECTION,SINGLE_SERVE,CHEWY,MARS_INCORPORATED,FREE FROM GLUTEN ,96611591,148.6,29
LY,"CANDY,_GUM,_MINTS",CHOCOLATE,MULTI_SERVE,MILK_CHOCOLATE,THE_HERSHEY_CO,51 TO 100 CALORIES PER SERVING ,91319661,148.6,29
CY,"CANDY,_GUM,_MINTS",CHOCOLATE,MULTI_SERVE,DARK_CHOCOLATE,PRIVATE_LABEL,CONTAINS SOY ,72032653,148.6,478
CY,"CANDY,_GUM,_MINTS",CHOCOLATE,MULTI_SERVE,DARK_CHOCOLATE,PRIVATE_LABEL,CONTAINS SOY ,72032653,148.6,478
LY,"CANDY,_GUM,_MINTS",CONFECTION,MULTI_SERVE,MARSHMALLOW,JUST_BORN_INC,FREE FROM GLUTEN ,62287757,148.6,50
LY,"CANDY,_GUM,_MINTS",CHOCOLATE,MULTI_SERVE,DARK_CHOCOLATE,CHOCOLADEFABRIKEN_LINDT_&_SPRUNGLI_AG,CONTAINS NATURAL FLAVORS ,34284496,148.6,15
LY,"CANDY,_GUM,_MINTS",CHOCOLATE,MULTI_SERVE,DARK_CHOCOLATE,CHOCOLADEFABRIKEN_LINDT_&_SPRUNGLI_AG,NATURAL POSITIONING ,34284496,148.6,15
